<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;231013;000000;79.67;80.72;79.35;80.12;2,845,590
SELG;D;231016;000000;80.15;81.29;79.99;80.28;2,156,840
SELG;D;231017;000000;80.38;81;80;80.3;2,245,920
SELG;D;231018;000000;80.42;82;79.35;80.91;5,164,050
SELG;D;231019;000000;82.01;83.3;81.23;83.15;12,285,720
SELG;D;231020;000000;83.55;83.55;80.34;81;6,685,850
SELG;D;231023;000000;81.5;81.65;80;80.11;2,641,490
SELG;D;231024;000000;80.11;80.29;78.35;79.46;2,246,750
SELG;D;231025;000000;79.49;79.55;78.6;78.96;1,338,860
SELG;D;231026;000000;78.97;79.06;75.7;76.97;2,476,750
SELG;D;231027;000000;76.97;79.38;75.7;79.07;2,695,620
SELG;D;231030;000000;79.3;79.78;78.08;78.29;1,387,510
SELG;D;231031;000000;78;78.38;77.01;77.26;1,121,260
SELG;D;231101;000000;77.26;79.3;77.02;78.75;1,274,690
SELG;D;231102;000000;78.8;79.69;77.41;77.65;1,277,160
SELG;D;231103;000000;77.65;78.3;77.41;77.64;813,200
SELG;D;231106;000000;77.65;78.3;77.35;78.12;644,260
SELG;D;231107;000000;78.12;78.21;77.65;77.99;484,170
SELG;D;231108;000000;77.97;78.05;77.26;77.54;709,030
SELG;D;231109;000000;77.53;77.8;76.44;77.17;953,740
SELG;D;231110;000000;77.17;77.22;75.01;76.09;1,578,580
SELG;D;231113;000000;76.07;76.16;69.14;71.1;7,347,830
